length,generator,test,statistic,p_value,passed,alpha,execution_time,details,error
10000,BB92 ideal,Longest Run of Ones,9.95858860295261,0.07641715923543937,True,0.01,0.004690700000001158,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [6.0, 23.0, 10.0, 18.0, 8.0, 13.0]}",
10000,BB92 ideal,Binary Matrix Rank,6.581717451523545,0.037221872287762525,True,0.01,0.016791699999998855,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [6.0, 3.0, 0.0]}",
10000,BB92 ideal,Non-overlap Template,15.001302083333332,0.09090021679134205,True,0.01,0.04151500000000041,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,BB92 ideal,Maurer Universal,5.161194995096631,0.0723478810376241,True,0.01,0.003074900000001435,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,Biased p(1)=0.70,Frequency (Monobit),38.96,0.0,False,0.01,0.0003009000000027129,"{'n': 10000, 'ones': 6948, 'zeros': 3052}",
10000,Biased p(1)=0.70,Block Frequency,1572.8125,6.392182042053087e-277,False,0.01,0.0003087999999991098,"{'block_size': 128, 'n_blocks': 78}",
10000,Biased p(1)=0.70,Runs,0.0,0.0,False,0.01,0.0002741999999997802,"{'n': 10000, 'pi': 0.6948, 'reason': 'frequency precondition failed'}",
10000,Biased p(1)=0.70,Longest Run of Ones,376.3201727786518,3.75599811825405e-79,False,0.01,0.0042858999999992875,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [0.0, 1.0, 1.0, 3.0, 11.0, 62.0]}",
10000,Biased p(1)=0.70,Binary Matrix Rank,0.8671539653840981,0.648186391561519,True,0.01,0.012951499999999783,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [3.0, 4.0, 2.0]}",
10000,Biased p(1)=0.70,Non-overlap Template,714.29296875,5.8456879647607064e-148,False,0.01,0.05247070000000065,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,Biased p(1)=0.70,Maurer Universal,4.548521089363671,1.782615860285983e-100,False,0.01,0.0030764999999988163,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
10000,Periodic 0101,Frequency (Monobit),0.0,1.0,True,0.01,0.00030389999999869133,"{'n': 10000, 'ones': 5000, 'zeros': 5000}",
10000,Periodic 0101,Block Frequency,0.0,1.0,True,0.01,0.00031159999999985644,"{'block_size': 128, 'n_blocks': 78}",
10000,Periodic 0101,Runs,10000.0,0.0,False,0.01,0.0002919000000005667,"{'n': 10000, 'pi': 0.5}",
10000,Periodic 0101,Longest Run of Ones,586.3952299829641,1.7588066672691079e-124,False,0.01,0.004355000000000331,"{'block_size': 128, 'n_blocks': 78, 'categories': [4, 5, 6, 7, 8, 9], 'observed': [78.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",
10000,Periodic 0101,Binary Matrix Rank,58.36526946107785,2.1190576356714317e-13,False,0.01,0.0031054999999966526,"{'matrix_shape': [32, 32], 'n_matrices': 9, 'observed': [0.0, 0.0, 9.0]}",
10000,Periodic 0101,Non-overlap Template,3060.01171875,0.0,False,0.01,0.06493670000000051,"{'template': '001', 'block_size': 1024, 'n_blocks': 9, 'mean': 127.75, 'variance': 48.0}",
10000,Periodic 0101,Maurer Universal,0.0,0.0,False,0.01,0.003084399999998766,"{'L': 6, 'Q': 640, 'K': 1026, 'expected_value': 5.2177052, 'sigma': 0.03144832143564455}",
